Tag,NodeID,Character,TextContent,NextID,IsChoice,Choice1Text,Choice1Next,Choice2Text,Choice2Next,Choice3Text,Choice3Next
,C1_Choice3_CN1_N5,角色一,"​我​不​想​再​當縮頭​烏龜​了！​
​我​要​為​了​他​勇敢​一​次！",C1_Choice3_CN1_N6,,,,,,,
,C1_Choice3_CN1_N6,玩家,,,,,,,,,
C2,C2_START,玩家,"生命專線您好！
請問有需要什麼協助嗎",C2_1,,,,,,,
,C2_1,角色二,"​我​跟​對象​在​一起​七年​了。
他​最近​脾氣​很​差、​不​愛理人
昨天連​我​生日​都​忘記​了。",C2_2,,,,,,,
,C2_2,角色二,"朋友​都​叫​我​分手
但​我​總覺​得​這對​他​不​公平…
其​實*​他​對​我​很​好​*​啊",C2_3,,,,,,,
,C2_3,角色二,"主動​做​家事
生病​時​照顧​我
​大半​夜買​我​愛吃​的​…",C2_4,,,,,,,
,C2_4,角色二,"但​我​還​是​覺得​家​裡真的​很​*​悶*…
可是​想到​要​為這​種事​吵架
甚至​搬出​去​重新​找​房子",C2_5,,,,,,,
,C2_5,角色二,"就​覺​得​真的​好*​麻​煩*喔…
我​是​不​是​太​不​知足​了？",C2_Continue,,,,,,,
,C2_Continue,玩家,,,1,麻煩,C2_Choice1_CN1_N1,悶,C2_Choice1_CN2_N1,他​對​我​很​好​,C2_Choice1_CN3_N1
,C2_Choice2_CN2_N1,玩家,"你​說悶​——​我​想​多​了解​一下。​
這​種悶​的​感覺，​具體​是​什麼？​",C2_Choice2_CN2_N2,,,,,,,
,C2_Choice2_CN2_N2,角色二,"明明​在​同​一​張​飯桌​上
在​同​一​張​沙發​上
​卻各​自滑手機",C2_Choice2_CN2_N3,,,,,,,
,C2_Choice2_CN2_N3,角色二,"​我​真的​很​害怕​那​種像​是
​*​一​個​人*​的​感覺……",C2_Choice2_CN2_N4,,,,,,,
,C2_Choice2_CN2_N4,角色二,"我​只​是​希望​下班後​
能​有​個人​跟​我​說說​話……",C2_Choice2_CN2_N5,,,,,,,
,C2_Choice2_CN2_N5,角色二,"​難道​我​只​是​渴望​一​點點​的​*陪​伴*
也​錯​了​嗎？​",C2_Choice2_CN2_N6,,,,,,,
,C2_Choice2_CN2_N6,玩家,,,1,一​個​人​,C2_Choice2_CN1_N1,陪伴,C2_Choice2_CN2_N1,,
,C2_Choice2_CN1_N1,角色二,"渴望​陪伴​當然​沒​有錯。​
但​你​有​沒​有​發現​?
​渴望​陪伴變成​你​的​遮羞​布",C2_Choice2_CN1_N2,,,,,,,
,C2_Choice2_CN1_N2,玩家,"這​一切
其實​是​你​為​了​不​用​
對​自己​人​生​負責​的​算計。",C2_Choice2_CN1_N3,,,,,,,
,C2_Choice2_CN1_N3,角色二,"原來​我​一直​在​算計​他​嗎……？​
因為​我​根本​就​是​個寄生蟲​?
",C2_Choice2_CN1_N4,,,,,,,
,C2_Choice2_CN1_N4,角色二,"​我​確實沒​有​獨自​生活​的​自信……
​其實​我​也​一直​很​討厭這樣​軟弱​的​自己",C2_Choice2_CN1_N5,,,,,,,
,C2_Choice2_CN1_N5,玩家,,,1,推廣高級課程,C2_Choice3_CN1_N1,推廣普通課程,C2_Choice3_CN2_N1,,
,C2_Choice3_CN2_N1,玩家,"覺察​自己​的​缺陷​是​覺醒​的​第一​步
​ 但​以​你​現​在​搖搖​欲墜​的​狀態
我​們​一​步​步來，​不急。",C2_Choice3_CN2_N2,,,,,,,
,C2_Choice3_CN2_N2,玩家,"你​可以​先從​最​基礎​的​成長​體​驗課​開始
只要​三千八，​讓​你​在​擁用​力量​之前
先​學會​找到​自己。​",C2_Choice3_CN2_N3,,,,,,,
,C2_Choice3_CN2_N3,角色二,"…​只要​三千​八嗎？​
 ​好……​我​現​在​真的​沒有​勇氣​提分手，​
一​想到​要​搬家​還​是​好​可怕。​",C2_Choice3_CN2_N4,,,,,,,
,C2_Choice3_CN2_N4,角色二,"體驗​看​看轉移焦點​也​好……​
請​你​傳連​結給​我，​謝謝。​",,,,,,,,
